#,ID,DESCRIPTION,ARRIVALLATITUDE,ARRIVALLONGITUDE
1,65731493,NORSA REFRIGERANTES LTDA,-3.7291158,-38.6550735
2,65798173,NORSA REFRIGERANTES LTDA,-3.8113382,-38.587059
3,65745921,NORSA REFRIGERANTES LTDA,-3.8412144,-38.5977001
4,65682343,NORSA REFRIGERANTES LTDA,-3.734894,-38.5623169
5,65684346,NORSA REFRIGERANTES LTDA,-3.767429,-38.6249722
6,65725173,NORSA REFRIGERANTES LTDA,-3.7653712,-38.6528769
7,65713310,NORSA REFRIGERANTES LTDA,-3.8504467,-38.6000886
8,65712665,NORSA REFRIGERANTES LTDA,-3.6263315,-38.7269084
9,65686297,NORSA REFRIGERANTES LTDA,-3.7429279,-38.5261805
10,65708125,NORSA REFRIGERANTES LTDA,-3.7384385,-38.6498865
11,65837286,NORSA REFRIGERANTES LTDA,-3.7521863,-38.6205695
12,65827890,NORSA REFRIGERANTES LTDA,-3.8035759,-38.6407651
13,65826769,NORSA REFRIGERANTES LTDA,-3.6476585,-38.7677159
14,66185506,NORSA REFRIGERANTES LTDA,-3.7247131,-38.5593563
15,65875218,NORSA REFRIGERANTES LTDA,-3.8545073,-38.5967749
16,65859230,NORSA REFRIGERANTES LTDA,-3.8545164,-38.5973782
17,66037164,NORSA REFRIGERANTES LTDA,-3.7951469,-38.6475578
18,66079941,NORSA REFRIGERANTES LTDA,-3.7720448,-38.5758733
19,66149801,NORSA REFRIGERANTES LTDA,-3.6270066,-38.7276996
20,66610429,NORSA REFRIGERANTES LTDA,-3.7360308,-38.6966747
21,66285580,NORSA REFRIGERANTES LTDA,-3.7152272,-38.6613151
22,66549046,NORSA REFRIGERANTES LTDA,-3.841043,-38.5977987
23,66799128,NORSA REFRIGERANTES LTDA,-3.841017,-38.5977052
24,66798216,NORSA REFRIGERANTES LTDA,-3.6349042,-38.710902
25,66738862,NORSA REFRIGERANTES LTDA,-3.7767638,-38.6051447
26,66736190,NORSA REFRIGERANTES LTDA,-3.735398,-38.5954644
27,66698031,NORSA REFRIGERANTES LTDA,-3.7551903,-38.6223834
28,66851472,NORSA REFRIGERANTES LTDA,-3.8422471,-38.5980746
29,66978444,NORSA REFRIGERANTES LTDA,-3.7572119,-38.6645739
30,66938808,NORSA REFRIGERANTES LTDA,-3.7751747,-38.6533182
31,67011588,NORSA REFRIGERANTES LTDA,-3.772003,-38.6610667
32,67159337,NORSA REFRIGERANTES LTDA,-3.7493787,-38.5950014
